Fred Mitchell,Sandy Alomar Jr,Jeff Bagwell,Craig Biggio,Barry Bonds,Jeff Cirillo,Royce Clayton,Roger Clemens,Jeff Conine,Steve Finley,Julio Franco,Shawn Green,Roberto Hernandez,Ryan Klesko,Kenny Lofton,Edgar Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jose Mesa,Jack Morris,Dale Murphy,Rafael Palmeiro,Mike Piazza,Tim Raines,Reggie Sanders,Curt Schilling,Aaron Sele,Lee Smith,Sammy Sosa,Mike Stanton,Alan Trammell,Larry Walker,Todd Walker,David Wells,Rondell White,Bernie Williams,Total Votes on Ballot,Ballot Link,Woody Williams
Buster Olney,,1,1,1,,,1,,,,,,,,,,,1,,1,1,1,1,,,,,,1,,,,,,,,10,http://bit.ly/VmP11O,
Dave Perkins,,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,1,1,,,,,10,http://bit.ly/UBqM22,
Monte Poole,,,,1,,,1,,,,,,,,1,,,,,1,,,1,1,,,,1,,,,,,,,,7,http://bit.ly/Vbrq4W,
Shaun Powell,,1,1,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,6,http://bit.ly/UBPRtJ & http://bit.ly/UBPZcJ,
Tom Powers,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,3,http://bit.ly/Vbrq4W,
Mark Purdy,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,4,http://bit.ly/Vbrq4W,
Troy Renck,,1,1,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,,,,1,,,,,,8,http://bit.ly/UKPECB,
Tracy Ringolsby,,1,1,1,,,1,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,1,,,,,10,http://bit.ly/VgfZpo,
Adam Rubin,,1,1,,,,,,,,,,,,,,,,,1,1,,,1,,1,,1,,,,,,,,,7,http://es.pn/W8ZuKp,
Bob Ryan,,1,1,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,,,,,,,,,,7,http://b.globe.com/VMcKF4,
Bob Sansevere,,1,1,1,,,1,,,,,,,,,,,1,,1,,1,,1,,1,,,1,,,,,,,,10,http://bit.ly/VcCZIR,
Henry Schulman,,1,1,1,,,1,,,,,,,,,,,,,1,1,,1,1,,1,,1,,,,,,,,,10,http://bit.ly/ZqS90V,
Mike Shalin,,1,,1,,,1,,,,,,,,1,1,,,,1,,,1,1,,1,,,1,,,,,,,,10,http://bit.ly/XJdt0m,
Dan Shaughnessy,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,4,http://b.globe.com/Vb1UN9,
Bob Sherwin,,1,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,5,http://bit.ly/100yzZK,
Claire Smith,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,4,http://es.pn/VfYlFw,
Lyle Spencer,,,1,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,1,,,,,,7,http://atmlb.com/XJ90ee,
Barry Stanton,,1,1,,,,,,,,,,,,1,1,1,,,1,,,1,,,1,,,,,1,,,,,1,10,http://es.pn/VfYlFw,
Jayson Stark,,1,1,1,,,1,,,,,,,,,,,,,1,1,,1,1,,1,,,1,,,,,,,,10,http://es.pn/UBrrRb,
Carl Steward,,1,1,1,,,1,,,,,,,,,,,1,,1,,,1,1,,,,1,,,1,,,,,,10,http://bit.ly/Vbrq4W,
