"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Chris Elsberry","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0","41643"
"Chris Haft","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41642"
"Chris Long","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"Claire Smith","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","41641"
"Dan Gelston","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41642"
"Dan Graziano","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41641"
"Dan McGrath","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","41645"
"Dan Shaughnessy","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41622"
"Danny Knobler","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"Dave Albee","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41644"
"Dave Cunningham","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"Dave Krieger","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41619"
