"Aaron Sele","Alan Trammell","Ballot Link","Barry Bonds","Bernie Williams","Craig Biggio","Curt Schilling","Dale Murphy","David Wells","Don Mattingly","Edgar Martinez","Fred McGriff","Jack Morris","Jeff Bagwell","Jeff Cirillo","Jeff Conine","Jose Mesa","Julio Franco","Kenny Lofton","Larry Walker","Lee Smith","Mark McGwire","Mike Piazza","Mike Stanton","Rafael Palmeiro","Reggie Sanders","Roberto Hernandez","Roger Clemens","Rondell White","Royce Clayton","Ryan Klesko","Sammy Sosa","Sandy Alomar Jr","Shawn Green","Steve Finley","Tim Raines","Todd Walker","Total Votes on Ballot","Woody Williams","timestamp"
"Henry Schulman","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Howard Bryant","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"Ian OConnor","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Jack Curry","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Jack Magruder","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Jack McCaffery","0","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Jay Dunn","0","1","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Jayson Stark","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Jeff Blair","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Jeff Fletcher","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Jeff Jacobs","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Jeffrey Flanagan","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Jerry Crasnick","0","0","1","1","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Jerry Green","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Jill Painter","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"Jim Alexander","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Jim Caple","0","1","1","1","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Jim Ingraham","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Jim Street","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Joe Capozzi","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
