TR Sullivan ,x,x,x,x,x,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,Comment 34,11/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent, Edgar, Schilling, Sheffield",,
Jean-Jacques Taylor,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Topkin,x,x,x,,x,,,x,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,9,http://bit.ly/2hy4w9r,12/18/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Vaccaro,x,x,x,x,,,x,,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,10,http://bit.ly/2idEDJ3,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sosa, Schilling",,
Juan Vene,,,,x,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,5,Email,12/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Vorva,x,,,x,x,,x,,,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,9,Regional News,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul White,x,,,x,x,,x,,x,,x,,,x,x,,,x,x,,,,,,,,,,,,,,,,10,Email,12/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Willis,x,,,x,,x,x,x,x,x,x,,,,x,x,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2gytGEU,11/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Wilson ,x,x,x,x,x,,x,,,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,10,,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mussina, McGriff, Sheffield ",,
Gordon Wittenmyer,,,,x,,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,5,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
