"Alan Trammell","Barry Bonds","Billy Wagner","Brad Ausmus","Curt Schilling","David Eckstein","Edgar Martinez","Fred McGriff","Garret Anderson","Gary Sheffield","Jason Kendall","Jeff Bagwell","Jeff Kent","Jim Edmonds","Ken Griffey Jr.","Larry Walker","Lee Smith","Luis Castillo","Mark Gruzielanek","Mark McGwire","Mike Hampton","Mike Lowell","Mike Mussina","Mike Piazza","Mike Sweeney","Nomar Garciaparra","Randy Winn","Roger Clemens","Sammy Sosa","Tim Raines","Trevor Hoffman","Troy Glaus","timestamp"
"Derrick Goold","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42003"
"Dick Scanlon","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Dom Amore","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42009"
"Don Burke","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41990"
"Doug Padilla","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"Drew Olson","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42009"
"Earl Bloom","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","41957"
"Ed Hilt","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41989"
"Ed Petruska","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","42011"
"Eduardo Almada","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Eric Nunez","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42005"
"Evan Grant","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42001"
"Filip Bondy","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","41966"
"Frank Clines","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42009"
"Fred Mitchell","0","0","0","0","1","0","1","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42017"
"Gabe Lacques","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41989"
"Garry Brown","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41972"
"Garry D Howard","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42002"
"Gary Hyvonen","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","42015"
"Gene Myers","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42010"
"Geoff Baker","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","42008"
"George A King III","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","0","42008"
"George Willis","0","1","0","0","1","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41643"
"Gil LeBreton","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42008"
"Glen Crevier","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Gordon Wittenmyer","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","42009"
"Greg Cote","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","42009"
"Gregg Patton","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Gregg Wong","1","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Guy Curtright","1","0","1","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42008"
"Hal Bodley","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","42006"
"Hal McCoy","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42007"
"Henry Schulman","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42008"
"Howard Bryant","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","41993"
"Ian OConnor","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42003"
"Jack Curry","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41992"
