"Alan Trammell","Barry Bonds","Craig Biggio","Curt Schilling","Don Mattingly","Edgar Martinez","Eric Gagne","Frank Thomas","Fred McGriff","Greg Maddux","Hideo Nomo","JT Snow","Jack Morris","Jacque Jones","Jeff Bagwell","Jeff Kent","Kenny Rogers","Larry Walker","Lee Smith","Luis Gonzalez","Mark McGwire","Mike Mussina","Mike Piazza","Mike Timlin","Moises Alou","Paul Lo Duca","Rafael Palmeiro","Ray Durham","Richie Sexson","Roger Clemens","Sammy Sosa","Sean Casey","Tim Raines","Todd Jones","Tom Glavine","timestamp"
"David Wilhelm","0","0","1","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Dennis Brackin","0","1","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Dennis Maffezzoli","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Dennis Manoloff","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Dennis Semrau","0","0","1","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Dick Kaegel","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Dom Amore","0","0","1","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Don Burke","0","0","1","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Drew Sharp","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Evan Grant","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Filip Bondy","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Frank Clines","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Fred Klein","1","0","1","1","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Fred Mitchell","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Gabe Lacques","1","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Garry Brown","0","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Garry D Howard","0","1","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0"
"Gene Collier","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Gene Myers","1","0","1","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Geoff Baker","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"George A King III","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","1","0"
