Rich Chere,,,1,,,,,,1,,,,1,,1,,,,,1,,,,1,,,,,,,,1,,,,7,http://bit.ly/1dfIZuk,44,85,0,13,0,0,17,2,18,0,0,0,0,10,0,10,0,0,0,0,15,0,0,,9,
Ron Chimelis,,1,1,,,,,,1,,,,,,1,,,1,,1,1,,,,1,,,,,,,1,,,,9,http://bit.ly/1gpnPbu,65,93,9,13,0,0,17,0,18,0,0,2,0,10,3,0,8,0,0,0,15,0,0,,1,
Frank Clines,,,1,1,,1,,,1,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,1,10,http://bit.ly/1cV1aQw,79,83,0,13,6,6,17,0,18,0,0,2,0,0,0,0,0,0,5,0,15,3,2,,0,
Tim Cowlishaw,,1,1,1,,1,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,1,,,1,10,http://bit.ly/1h4Xb8f,96,85,9,13,6,6,0,0,18,4,0,0,0,0,0,10,8,0,0,0,15,0,2,,0,
Jerry Crasnick,,1,1,,,,,,1,,,,1,,1,,,,,,1,,,1,1,,1,,,,,1,,,,10,http://es.pn/1hqKN5G,80,95,9,13,0,0,17,2,18,0,0,0,0,0,3,10,8,5,0,0,15,0,0,,0,
Jack Curry,,1,1,,,,,,1,,,,,,1,,,,,1,1,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1d9duSP,78,100,9,13,0,0,17,0,18,0,0,0,0,10,3,10,8,5,0,0,15,0,0,,0,
Paul Daugherty,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,4,http://cin.ci/JHtYVD,-7,58,0,13,0,0,17,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,36,
Ken Davidoff,,1,,1,,1,,,1,,,,,,1,,,,,,1,,,1,,,1,,,,,1,,,1,10,http://bit.ly/1dEqSwJ,92,86,9,0,6,6,17,0,18,0,0,0,0,0,3,10,0,5,0,0,15,0,2,,0,
John Delcos,,1,1,,,,,,1,,,,,,1,1,,,,1,1,,,1,1,,,,,,,1,,,,10,http://bit.ly/1jbpqDz,78,100,9,13,0,0,17,0,18,4,0,0,0,10,3,10,8,0,0,0,15,0,0,,0,
Chris DeLuca,,,1,1,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,8,http://bit.ly/Khi6d2,76,86,0,13,6,6,17,0,18,0,0,0,0,0,0,10,0,0,0,1,15,0,0,,4,
Jay Dunn,,1,1,,,,,,1,,,,,,1,,,1,,,,,,1,1,,1,,1,,,1,,,,10,http://bit.ly/18zHBRT,75,95,9,13,0,0,17,0,18,0,0,2,0,0,0,10,8,5,5,0,15,0,0,,0,
Mike Dyer,,,,1,,1,,,,,,,,,1,1,,,,,,,1,1,1,,,,,,1,1,,,1,10,bbwaa.com/14-hof-ballots,85,69,0,0,6,6,0,0,18,4,0,0,0,0,0,10,8,0,0,1,15,0,2,,0,
Gordon Edes,,1,,1,,1,,,1,,,,,,1,,,,,1,,,,1,1,,1,,,,,1,,,,10,http://es.pn/Khclfm,94,93,9,0,6,6,17,0,18,0,0,0,0,10,0,10,8,5,0,0,15,0,0,,0,
Bob Elliott,,,,1,,1,,,1,,,,1,,1,,,1,,1,,,,,1,,,,,,,1,,,1,10,Sportsnet Fan 590 (Canadian radio),79,82,0,0,6,6,17,2,18,0,0,2,0,10,0,0,8,0,0,0,15,0,2,,0,
Chris Elsberry,,1,1,,,,,,1,,,,,,1,,,1,,1,,,,1,1,,,,1,,,1,,,,10,http://bit.ly/1iv4vNZ,71,100,9,13,0,0,17,0,18,0,0,2,0,10,0,10,8,0,5,0,15,0,0,,0,
John Erardi,,1,1,,,,,,1,,,,,,1,,,,,,1,,,1,1,,1,,,,,1,,1,,10,http://cin.ci/1gyjuDE,82,95,9,13,0,0,17,0,18,0,0,0,0,0,3,10,8,5,0,0,15,3,0,,0,
Mark Faller,,1,1,,,,,,1,,,,,,1,,,,,1,,,,1,1,,1,,1,,,1,,,,10,http://bit.ly/KBYjWo,74,100,9,13,0,0,17,0,18,0,0,0,0,10,0,10,8,5,5,0,15,0,0,,0,
Gerry Fraley,,1,1,1,,1,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,1,,1,,10,http://bit.ly/19GilI5,88,94,9,13,6,6,17,0,18,0,0,0,0,10,3,0,0,0,0,0,15,3,0,,0,
Peter Gammons,,1,1,,,,,,1,,,,,,1,,,,,,1,,,1,1,,1,,,,,1,,1,,10,http://atmlb.com/1f24jVL,82,95,9,13,0,0,17,0,18,0,0,0,0,0,3,10,8,5,0,0,15,3,0,,0,
Joe Goddard,,1,1,,,,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,,8,http://bit.ly/JE4Vm6,64,100,9,13,0,0,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,0,,4,
Pedro Gomez,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,,,,1,,,1,,1,,7,http://es.pn/1hqKN5G,33,70,0,0,0,0,17,0,18,0,0,2,0,10,0,0,0,0,5,0,15,3,0,,9,
Mark Gonzales,,1,,,,,,,1,,,,1,,1,1,,,,,,,,1,1,,,,,,,1,,,,8,http://bit.ly/1aaqmFq,64,83,9,0,0,0,17,2,18,4,0,0,0,0,0,10,8,0,0,0,15,0,0,,4,
Rick Gosselin,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,8,http://dallasne.ws/1eCLf0i,67,82,9,13,6,6,17,0,18,0,0,0,0,10,0,0,0,0,0,0,0,3,0,,4,
Evan Grant,,1,1,,,,,,1,,,,,,1,1,,,,,1,,,1,1,,,,,,,1,,,1,10,http://bit.ly/Khi3Oe,80,94,9,13,0,0,17,0,18,4,0,0,0,0,3,10,8,0,0,0,15,0,2,,0,
Dan Graziano,,,,,,,,,1,,,,,,1,,,1,,1,1,,,,1,,1,,,,,1,,,,8,http://es.pn/1hqKN5G,51,78,0,0,0,0,17,0,18,0,0,2,0,10,3,0,8,5,0,0,15,0,0,,4,
Jerry Green,,,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,,,1,,,1,,1,,10,http://bit.ly/1ag6EVz,70,96,0,13,0,0,17,0,18,4,0,0,0,10,0,10,8,0,5,0,15,3,0,,0,
Teddy Greenstein,,1,1,,,,,,1,,,,,,1,,1,,,,,,,1,1,,1,,1,,,1,,,,10,http://bit.ly/1aaqmFq,74,95,9,13,0,0,17,0,18,0,1,0,0,0,0,10,8,5,5,0,15,0,0,,0,
Richard Griffin,,1,1,1,,,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,1,10,http://bit.ly/KhihVL,85,100,9,13,6,0,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,2,,0,
Ken Gurnick,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,http://atmlb.com/1acHryM,-80,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,81,
Paul Gutierrez,,,1,,,,,,1,,,,1,,1,1,,,,,,,,1,1,,,,1,,,1,,,,9,http://bit.ly/1cOr7Rm,66,90,0,13,0,0,17,2,18,4,0,0,0,0,0,10,8,0,5,0,15,0,0,,1,
Chris Haft,,1,1,,,,,,1,,,,1,,1,,,,,1,1,,,,,,,,1,,,1,,1,,10,http://atmlb.com/1acHryM,64,90,9,13,0,0,17,2,18,0,0,0,0,10,3,0,0,0,5,0,15,3,0,,0,
Paul Hagen,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,1,1,,,,1,,,,,,,10,http://atmlb.com/1acHryM,85,91,9,13,6,6,17,0,18,0,0,0,0,10,0,10,8,0,5,0,0,0,0,,0,
Mark Hale,,1,1,1,,1,,,1,,,,,,1,,,,,,1,,,1,,,1,,,,,1,,,,10,http://bit.ly/1ebsxbb,96,94,9,13,6,6,17,0,18,0,0,0,0,0,3,10,0,5,0,0,15,0,0,,0,
Mike Hart,,,1,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,1,,8,http://bit.ly/1cBkpBw,52,89,0,13,0,0,17,0,18,0,0,0,0,10,0,0,8,0,5,0,15,3,0,,4,
John Harper,,1,,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,1,,1,,10,http://bit.ly/1bzutaz,76,92,9,0,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,15,3,0,,0,
Tom Haudricourt,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,,10,http://bit.ly/1ieyCq3,96,100,9,13,6,6,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,0,,0,
