Jerry Crasnick,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1rh7dMT,12/24/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Philadelphia,
Jack Curry,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1BB2R3J,1/5/2015,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,New York,
Ken Daley,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,,,9,http://bit.ly/1BEtNiH,1/6/2015,,0,0,13,13,9,9,9,0,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,77,Honorary,
Tom D'Angelo,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,8,http://bit.ly/1w9eJoB,12/20/2014,,0,0,13,13,9,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,68,Miami,
Paul Daugherty,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,8,http://cin.ci/1IlcCF9,1/6/2015,,0,0,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,Cincinnati,
Shi Davidi,,,,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,,1,,,,,1,,1,1,10,http://bit.ly/1KhY6lx,1/6/2015,,13,13,13,13,0,0,9,7,0,0,7,7,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Toronto,
Ken Davidoff,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,,,1,1,10,http://bit.ly/1xER0UL,1/3/2015,,13,13,13,13,9,9,0,7,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,New York,
John Delcos,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,1,1,,,,10,http://bit.ly/1BfNVHB,12/27/2014,,0,0,13,13,9,9,9,0,0,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,New York,
Chris De Luca,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,1,,,8,http://bit.ly/1rhJvQs,12/24/2014,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,73,Chicago,
Tony DeMarco,,,,1,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,,,1,1,,1,,10,http://bit.ly/1HGgH8w,1/6/2015,,0,0,13,13,0,0,9,7,7,7,7,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,Arizona,
Paul Doyle,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/14dZl47,1/5/2015,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Boston,
Josh Dubow,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1zmTrGo,12/26/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Bay Area,
Jay Dunn,,,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,1,,1,,1,1,1,,,,10,http://bit.ly/1vlodg4,12/3/2014,,0,0,13,13,9,0,0,0,7,0,7,7,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,New York,
Mike Dyer,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,1,1,1,10,http://imgur.com/gULiDdy,11/25/2014,,13,13,13,13,9,9,9,7,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,New York,
Jorge Ebro,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,Via email,12/25/2014,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,Miami,
