,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,Nomar Garciaparra,Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,http://www.baseballthinkfactory.org/newsstand/discussion/the_2015_hof_ballot_collecting_gizmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Haakenson,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/1ALtoe5,12/21/2014,,0,0,13,13,9,9,9,7,7,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Mark Hale,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1CYp0Kf,12/26/2014,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Henry Hecht,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,1,,,,1,,1,,8,Via email,12/20/2014,,0,0,13,13,0,0,9,7,7,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62
Joe Henderson,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,8,http://on.fb.me/1zhe5LJ,12/15/2014,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,80
Phil Hersh,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,1,,,,1,1,,,1,10,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,0,0,9,0,0,7,7,7,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Bob Hertzel (complete?),,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,6,http://bit.ly/1rgdNDH,12/19/2014,,13,13,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,50
Bob Herzog,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1K4UfZ1,1/1/2015,,13,13,13,13,9,0,9,0,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Jon Heyman,,,,1,,,,,,,,,,,,,1,,,1,1,1,,,,,,1,1,,,,1,,1,,9,http://bit.ly/13FPROq,12/29/2014,,0,0,13,13,0,0,9,7,7,0,7,7,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,66
Bob Hohler,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,8,http://bit.ly/13BLqVa,12/23/2014,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70
Sean Horgan,,,,1,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,1,,,,6,http://bit.ly/1HbZtj3,12/29/2014,,0,0,13,13,0,0,0,0,0,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,33
Jeff Jacobs,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://cour.at/1JAVAGH,12/20/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Stephen Jacobson,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,7,Via email,12/20/2014,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,53
Tim Kawakami,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1zkAHXO,12/25/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Bob Klapisch,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1v8dhU9,12/19/2014,,13,13,13,13,9,9,9,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Fred Klein,,,,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,,1,,,1,1,,1,,10,http://bit.ly/1BrWizY,12/15/2014,,0,0,13,13,9,0,0,7,7,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Dejan Kovacevic,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,1,,1,,,,9,http://bit.ly/1vBeFy6,1/2/2014,,0,0,13,13,9,0,9,0,7,7,7,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,74
Mark Kreidler,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,4,http://bit.ly/13Nycoy,12/28/2014,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4
Dave Krieger,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,1,10,http://bit.ly/1BzwGSx,12/13/2014,,0,0,13,13,9,9,9,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Gabe Lacques,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,1,,1,,1,,10,http://bit.ly/13Vo5y3,1/1/2015,,13,13,13,13,9,0,9,7,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
Marc Lancaster,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,1,,,,1,,1,1,10,http://bit.ly/1xuYcCK,12/30/2014,,0,0,13,13,9,9,0,7,7,0,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
David Lariviere,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,,,1,1,1,,,,10,http://onforb.es/1x9f2DL,12/23/2014,,0,0,13,13,9,9,0,0,0,7,7,7,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Mike Lefkow,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,1,,,,,,,,,1,1,,,,10,http://on.fb.me/13EpcSF,12/24/2014,,13,13,13,13,0,9,0,0,0,0,7,7,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
David Lennon,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1wzmkx2,12/30/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Thom Loverro,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,,,,,1,,1,,9,http://bit.ly/1CHsLqd,12/19/2014,,0,0,13,13,9,9,0,7,0,7,7,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,74
Jack Magruder,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,1,,1,,,1,10,http://bit.ly/16YiEjH,12/28/2014,,13,13,13,13,9,9,0,0,0,0,7,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Tony Massarotti,,,,,1,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,5,"His radio show, 12/23, Hour 3",12/23/2014,,13,13,13,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,31
Jack McCaffery,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,,1,,9,http://bit.ly/1yQcfAV,12/3/2014,,13,13,13,13,9,0,0,7,0,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,85
John McGrath,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1CMQJNM,12/24/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Ivy McLemore,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,,,,10,Via email,1/2/2015,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Bernie Miklasz,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,10,via DM,12/30/2014,,13,13,13,13,9,9,9,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Fred Mitchell,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,1,1,1,,,,10,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,9,9,9,0,0,0,7,7,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Wayne Monroe,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,5,http://on.fb.me/1Hh6Yp5,12/31/2014,,0,0,13,13,9,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24
Aurelio Moreno,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,1,,,9,http://bit.ly/1CCAupe,12/24/2014,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80
Gene Myers,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,,1,,,,1,1,,1,,10,http://on.freep.com/1tpHCTh,12/27/2014,,0,0,13,13,0,9,9,7,0,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Mike Nadel,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,,10,http://bit.ly/1zgbP3v,12/23/2014,,0,0,13,13,9,9,9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Ross Newhan,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/13D2Yjm,12/28/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Marty Noble,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,3,http://atmlb.com/1AS5UUn,12/20/2014,,0,0,13,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-16
Eric Nunez,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1vEMFKQ,12/30/2014,,13,13,13,13,9,9,9,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
